price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood_Eixample,neighborhood_Gràcia,neighborhood_Horta- Guinardo,neighborhood_Les Corts,neighborhood_Nou Barris,neighborhood_Sant Andreu,neighborhood_Sant Martí,neighborhood_Sants-Montjuïc,neighborhood_Sarria-Sant Gervasi
995,1,1,True,False,50,flat,0,0,0,0,0,0,0,0,1
995,1,1,False,True,42,attic,0,1,0,0,0,0,0,0,0
1650,3,3,True,False,85,flat,1,0,0,0,0,0,0,0,0
800,1,1,True,False,50,flat,0,0,0,0,0,0,0,0,1
2800,4,3,True,False,200,flat,0,0,0,1,0,0,0,0,0
2900,3,2,True,False,178,flat,0,0,0,0,0,0,0,0,1
1675,4,3,True,False,137,flat,0,0,0,0,0,0,0,0,1
1700,2,2,True,False,85,flat,1,0,0,0,0,0,0,0,0
1900,4,2,True,True,148,flat,0,0,0,1,0,0,0,0,0
2580,3,2,True,False,154,flat,1,0,0,0,0,0,0,0,0
